UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,18-20,21-29,30-39,40-49,50-59,60-69,70-79,80-89,90 AND ABOVE,MALE ELECTORS,WOMEN ELECTORS
P. 142,JOHOR,P. 142,LABIS,49696,2384,8451,10356,8909,7831,6396,3721,1357,291,24982,24714
P. 143,JOHOR,P. 143,PAGOH,70651,3997,14025,15781,11961,10073,8564,4057,1820,373,35196,35455
P. 144,JOHOR,P. 144,LEDANG,105767,6268,21545,22661,17842,15427,12340,6620,2622,442,52215,53552
P. 145,JOHOR,P. 145,BAKRI,98199,5086,18313,20535,17178,14717,12474,6870,2527,499,48575,49624
P. 146,JOHOR,P. 146,MUAR,69788,3936,14041,15224,12063,9781,8088,4488,1736,431,34634,35154
P. 147,JOHOR,P. 147,PARIT SULONG,80248,4499,15924,16328,13068,12431,10136,5323,2073,466,39437,40811
P. 148,JOHOR,P. 148,AYER HITAM,61772,3702,12658,13079,10625,9359,7138,3613,1374,224,30807,30965
P. 149,JOHOR,P. 149,SRI GADING,80559,5825,19125,17322,13014,11403,8385,3805,1441,239,39887,40672
P. 150,JOHOR,P. 150,BATU PAHAT,134965,7321,26176,29447,23254,19840,15915,9108,3262,642,66773,68192
P. 151,JOHOR,P. 151,SIMPANG RENGGAM,59617,3333,12114,13462,10032,8770,6826,3441,1373,266,29824,29793
P. 152,JOHOR,P. 152,KLUANG,133662,7206,27108,30045,22618,18575,15879,8803,2865,563,66982,66680
P. 153,JOHOR,P. 153,SEMBRONG,55014,2616,9673,13439,10206,6906,7181,3775,1005,213,27570,27444
P. 154,JOHOR,P. 154,MERSING,66874,3581,13187,18123,11950,7340,7847,3728,894,224,33848,33026
P. 155,JOHOR,P. 155,TENGGARA,68938,4914,16276,15954,12481,9251,5884,3151,905,122,34373,34565
P. 156,JOHOR,P. 156,KOTA TINGGI,61507,3070,10714,15524,12711,7448,6478,4372,989,201,30765,30742
P. 157,JOHOR,P. 157,PENGERANG,55841,3145,9785,13287,12826,6774,4456,4487,874,207,28052,27789
P. 158,JOHOR,P. 158,TEBRAU,234103,22055,62498,48180,41543,33320,17722,6685,1709,391,117971,116132
P. 159,JOHOR,P. 159,PASIR GUDANG,204804,15265,48637,44608,35474,32176,19810,7080,1526,228,103549,101255
P. 160,JOHOR,P. 160,JOHOR BAHRU,136281,5829,20231,26715,24184,21652,20231,12418,4022,999,68218,68063
P. 161,JOHOR,P. 161,PULAI,169214,11473,34826,34649,32433,25276,17773,9280,2653,851,85040,84174
P. 162,JOHOR,P. 162,ISKANDAR PUTERI,230653,17183,52709,49744,41293,34313,23250,9475,2272,414,115581,115072
P. 163,JOHOR,P. 163,KULAI,155467,11638,35894,30784,26768,23701,15476,7884,2820,502,78180,77287
P. 164,JOHOR,P. 164,PONTIAN,75857,4216,14702,16818,12797,11046,8650,5207,1974,447,37705,38152
P. 165,JOHOR,P. 165,TANJUNG PIAI,71354,4090,13996,15051,12255,10915,8345,4587,1693,422,36111,35243
P. 166,WILAYAH PERSEKUTUAN LABUAN,P. 166,LABUAN,46560,3412,10770,11368,7621,5623,4870,2110,564,222,24532,22028
P. 167,SABAH,P. 167,KUDAT,77091,5958,17869,18332,13259,9324,6637,3079,1425,1208,39064,38027
P. 168,SABAH,P. 168,KOTA MARUDU,83078,6585,20609,21160,14053,9143,6263,3030,1296,939,42098,40980
P. 169,SABAH,P. 169,KOTA BELUD,81611,5621,17858,19440,14279,10882,8093,3142,1486,810,39966,41645
P. 170,SABAH,P. 170,TUARAN,85847,6575,18690,20653,14887,11789,8157,3126,1217,753,42816,43031
P. 171,SABAH,P. 171,SEPANGGAR,113334,9558,30119,29207,18286,12308,9228,3112,971,545,57879,55455
P. 172,SABAH,P. 172,KOTA KINABALU,73142,2470,9464,13972,13345,12141,11770,6959,2253,768,35769,37373
P. 173,SABAH,P. 173,PUTATAN,65083,4406,14910,15787,11077,8093,6576,2973,814,447,33753,31330
P. 174,SABAH,P. 174,PENAMPANG,79112,5522,16820,18577,15289,10550,7496,3429,1049,380,40135,38977
P. 175,SABAH,P. 175,PAPAR,61953,4641,13618,13354,11245,9025,6280,2708,769,313,30921,31032
P. 176,SABAH,P. 176,KIMANIS,41631,2618,8093,9667,7900,6444,4250,1764,536,359,20903,20728
P. 177,SABAH,P. 177,BEAUFORT,43917,2434,7869,9312,8296,7399,5508,2124,728,247,22079,21838
P. 178,SABAH,P. 178,SIPITANG,46712,3060,10002,10972,8187,6728,5017,1785,663,298,23719,22993
P. 179,SABAH,P. 179,RANAU,68313,5263,16116,17040,11974,8201,5919,2203,948,649,34395,33918
