STATE,GE14_PARLIAMENTARY_CODE,GE14_PARLIAMENTARY_NAME,GE14_TOTAL_ELECTORS,GE14_TOTAL_TURNOUT,GE14_NORMAL_VOTERS_PERCENT,GE14_MILITARY_VOTERS_PERCENT,GE14_POLICE_VOTERS_PERCENT,GE14_ABSENT_VOTERS_PERCENT,GE14_POSTAL_VOTER_SHARE_PERCENT,GE15_PARLIAMENTARY_CODE,GE15_PARLIAMENTARY_NAME,GE15_TOTAL_ELECTORS,GE15_TOTAL_TURNOUT,GE15_NORMAL_VOTERS_PERCENT,GE15_MILITARY_VOTERS_PERCENT,GE15_POLICE_VOTERS_PERCENT,GE15_ABSENT_VOTERS_PERCENT,GE15_POSTAL_VOTER_SHARE,NUMERICAL_GROWTH_OF_POSTAL_VOTERS_SINCE_GE14
PERAK,P.070,KAMPAR,69436,53567,99.40,0.00,0.58,0.02,2.01,P.070,KAMPAR,89894,60399,99.57,0.00,0.42,0.01,2.67,533
PERAK,P.071,GOPENG,99167,80532,98.96,0.61,0.38,0.05,1.95,P.071,GOPENG,143657,105000,99.16,0.59,0.23,0.02,2.81,1384
PERAK,P.072,TAPAH,47128,37113,95.86,1.21,2.90,0.03,3.17,P.072,TAPAH,61946,45537,97.34,1.06,1.59,0.01,4.06,672
PERAK,P.073,PASIR SALAK,54671,44508,99.85,0.00,0.14,0.01,2.35,P.073,PASIR SALAK,74761,58218,99.89,0.00,0.11,0.01,2.20,236
PERAK,P.074,LUMUT,67157,55042,82.27,16.89,0.82,0.02,3.67,P.074,LUMUT,92972,72673,90.39,9.03,0.56,0.01,4.65,1359
PERAK,P.075,BAGAN DATUK,47309,37796,96.41,3.29,0.30,0.01,3.39,P.075,BAGAN DATUK,58183,42694,99.79,0.00,0.20,0.01,2.36,-274
PERAK,P.076,TELUK INTAN,66487,54601,99.42,0.00,0.56,0.02,1.86,P.076,TELUK INTAN,87222,65137,99.54,0.00,0.45,0.01,2.21,428
PERAK,P.077,TANJONG MALIM,68468,55613,99.19,0.12,0.65,0.04,1.80,P.077,TANJONG MALIM,93873,70928,99.48,0.06,0.45,0.00,1.87,326
PAHANG,P.078,CAMERON HIGHLANDS,32048,25326,99.17,0.00,0.79,0.04,1.43,P.078,CAMERON HIGHLANDS,46020,34189,99.22,0.23,0.54,0.01,1.54,166
PAHANG,P.079,LIPIS,35294,28666,96.96,2.03,1.01,0.01,3.99,P.079,LIPIS,47124,36343,98.08,1.29,0.63,0.00,2.53,-224
PAHANG,P.080,RAUB,57723,46971,99.14,0.12,0.73,0.01,2.02,P.080,RAUB,75064,57097,99.49,0.05,0.45,0.01,1.78,67
PAHANG,P.081,JERANTUT,63609,51414,99.37,0.10,0.53,0.01,2.61,P.081,JERANTUT,87051,67774,99.59,0.04,0.37,0.01,2.33,239
PAHANG,P.082,INDERA MAHKOTA,77208,64612,95.89,2.41,1.68,0.03,2.65,P.082,INDERA MAHKOTA,120549,94392,98.33,0.67,0.99,0.01,2.11,283
PAHANG,P.083,KUANTAN,62696,52167,96.98,0.12,2.88,0.02,2.33,P.083,KUANTAN,87597,68515,98.20,0.04,1.75,0.01,2.06,192
PAHANG,P.084,PAYA BESAR,55135,44942,99.85,0.00,0.13,0.02,2.02,P.084,PAYA BESAR,79744,62769,99.86,0.04,0.09,0.01,1.64,117
PAHANG,P.085,PEKAN,88899,72308,92.31,7.11,0.56,0.02,3.33,P.085,PEKAN,119443,94618,94.07,5.55,0.36,0.01,3.29,703
PAHANG,P.086,MARAN,41036,33363,99.35,0.00,0.64,0.01,2.55,P.086,MARAN,53128,41665,99.58,0.00,0.42,0.00,2.38,141
PAHANG,P.087,KUALA KRAU,47264,39102,99.90,0.00,0.10,0.01,2.07,P.087,KUALA KRAU,60537,48440,99.93,0.00,0.07,0.00,2.07,194
PAHANG,P.088,TEMERLOH,75081,62204,96.03,3.20,0.75,0.02,2.66,P.088,TEMERLOH,106829,83612,97.61,1.90,0.48,0.01,2.54,470
PAHANG,P.089,BENTONG,67359,56173,97.51,1.80,0.66,0.03,1.70,P.089,BENTONG,87058,67454,98.60,1.03,0.35,0.01,1.91,333
PAHANG,P.090,BERA,58711,48339,97.25,2.23,0.50,0.01,1.79,P.090,BERA,77669,60507,95.10,4.53,0.36,0.01,4.97,2140
PAHANG,P.091,ROMPIN,61918,50905,98.89,0.49,0.61,0.00,2.08,P.091,ROMPIN,89131,68233,99.29,0.33,0.38,0.00,1.95,271
SELANGOR,P.092,SABAK BERNAM,40863,34023,99.82,0.06,0.11,0.00,2.24,P.092,SABAK BERNAM,51609,41485,99.89,0.01,0.10,0.00,2.79,398
SELANGOR,P.093,SUNGAI BESAR,48739,41878,99.27,0.00,0.72,0.01,2.06,P.093,SUNGAI BESAR,64382,51594,99.49,0.00,0.50,0.00,2.53,444
