Negeri,PARLIAMENT SEAT (2018 - ),Area (sq km),NOTES
SARAWAK,P. 198 PUNCAK BORNEO,1328,As per 2015 Gazetted Redelineation
SARAWAK,P. 199 SERIAN,1463,As per 2015 Gazetted Redelineation
SARAWAK,P. 200 BATANG SADONG,1031,As per 2015 Gazetted Redelineation
SARAWAK,P. 201 BATANG LUPAR,1990,As per 2015 Gazetted Redelineation
SARAWAK,P. 202 SRI AMAN,2678,As per 2015 Gazetted Redelineation
SARAWAK,P. 203 LUBOK ANTU,3294,As per 2015 Gazetted Redelineation
SARAWAK,P. 204 BETONG,1398,As per 2015 Gazetted Redelineation
SARAWAK,P. 205 SARATOK,1666,As per 2015 Gazetted Redelineation
SARAWAK,P. 206 TANJONG MANIS,2024,As per 2015 Gazetted Redelineation
SARAWAK,P. 207 IGAN,2206,As per 2015 Gazetted Redelineation
SARAWAK,P. 208 SARIKEI,712,As per 2015 Gazetted Redelineation
SARAWAK,P. 209 JULAU,2858,As per 2015 Gazetted Redelineation
SARAWAK,P. 210 KANOWIT,2187,As per 2015 Gazetted Redelineation
SARAWAK,P. 211 LANANG,722,As per 2015 Gazetted Redelineation
SARAWAK,P. 212 SIBU,1399,As per 2015 Gazetted Redelineation
SARAWAK,P. 213 MUKAH,2985,As per 2015 Gazetted Redelineation
SARAWAK,P. 214 SELANGAU,9193,As per 2015 Gazetted Redelineation
SARAWAK,P. 215 KAPIT,6331,As per 2015 Gazetted Redelineation
SARAWAK,P. 216 HULU RAJANG,34080,As per 2015 Gazetted Redelineation
SARAWAK,P. 217 BINTULU,8300,As per 2015 Gazetted Redelineation
SARAWAK,P. 218 SIBUTI,1576,As per 2015 Gazetted Redelineation
SARAWAK,P. 219 MIRI,771,As per 2015 Gazetted Redelineation
SARAWAK,P. 220 BARAM,22075,As per 2015 Gazetted Redelineation
SARAWAK,P. 221 LIMBANG,4211,As per 2015 Gazetted Redelineation
SARAWAK,P. 222 LAWAS,3889,As per 2015 Gazetted Redelineation
