UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS (AUGUST 2025),ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY,ELECTORS - POLICE,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS
P. 137,MELAKA,P. 137,HANG TUAH JAYA,122825,121779,145,901,7612,24699,27338,22174,16532,14320,7523,2280,347,60248,62577
P. 138,MELAKA,P. 138,KOTA MELAKA,167072,166246,0,826,8591,29383,33009,29558,24361,22590,13922,4647,1011,81225,85847
P. 139,MELAKA,P. 139,JASIN,99808,99507,0,301,5891,20370,21678,17706,14355,11402,6006,2073,327,48671,51137
P. 140,JOHOR,P. 140,SEGAMAT,69843,68603,435,805,3141,11918,15847,11954,9517,9813,5566,1671,416,35193,34650
P. 141,JOHOR,P. 141,SEKIJANG,65455,65455,0,0,3748,12686,14783,12401,8491,7375,4545,1230,196,32381,33074
P. 142,JOHOR,P. 142,LABIS,49865,49816,0,49,2340,8109,10319,9098,7769,6572,4022,1326,310,25055,24810
P. 143,JOHOR,P. 143,PAGOH,71352,71246,0,106,3928,13613,15838,12554,9972,8842,4474,1736,395,35555,35797
P. 144,JOHOR,P. 144,LEDANG,106893,106524,0,369,6045,21078,22913,18454,15393,12795,7180,2561,474,52838,54055
P. 145,JOHOR,P. 145,BAKRI,98739,97819,0,920,5046,17549,20645,17585,14598,12804,7452,2517,543,48839,49900
P. 146,JOHOR,P. 146,MUAR,70688,70034,0,654,3908,13640,15362,12581,9837,8365,4788,1734,473,35122,35566
P. 147,JOHOR,P. 147,PARIT SULONG,80958,80910,0,48,4353,15432,16644,13419,12289,10581,5699,2042,499,39796,41162
P. 148,JOHOR,P. 148,AYER HITAM,62365,62309,0,56,3535,12375,13270,10869,9412,7406,3888,1346,264,31108,31257
P. 149,JOHOR,P. 149,SRI GADING,82104,82008,54,42,5663,18777,18173,13337,11419,8876,4185,1401,273,40672,41432
P. 150,JOHOR,P. 150,BATU PAHAT,135958,134940,519,499,6964,25323,29763,23873,19776,16475,9771,3298,715,67219,68739
P. 151,JOHOR,P. 151,SIMPANG RENGGAM,60148,59468,0,680,3263,11674,13617,10329,8801,7096,3724,1346,298,30094,30054
P. 152,JOHOR,P. 152,KLUANG,134879,129994,4424,461,7076,26087,30290,23336,18644,16268,9605,2947,626,67424,67455
P. 153,JOHOR,P. 153,SEMBRONG,55159,55109,0,50,2565,9173,13108,10848,6936,7085,4179,1034,231,27616,27543
P. 154,JOHOR,P. 154,MERSING,67512,65720,1449,343,3562,12774,17607,13218,7313,7669,4185,939,245,34163,33349
P. 155,JOHOR,P. 155,TENGGARA,70603,68434,1711,458,4729,16246,16434,12871,9617,6225,3415,916,150,35298,35305
P. 156,JOHOR,P. 156,KOTA TINGGI,61584,61530,0,54,3159,10252,14549,13572,7880,6213,4704,1040,215,30704,30880
P. 157,JOHOR,P. 157,PENGERANG,57075,55632,1255,188,3563,10073,12472,13425,7512,4250,4588,971,221,28959,28116
P. 158,JOHOR,P. 158,TEBRAU,242019,241732,0,287,22106,63653,50579,41594,35022,19341,7537,1754,433,121866,120153
P. 159,JOHOR,P. 159,PASIR GUDANG,209254,207371,1025,858,15213,48129,45769,36012,32683,21433,8099,1652,264,105622,103632
P. 160,JOHOR,P. 160,JOHOR BAHRU,136550,134451,0,2099,5866,19498,26204,24629,21353,20262,13443,4177,1118,68346,68204
P. 161,JOHOR,P. 161,PULAI,172321,171501,0,820,11590,34687,34871,32662,26133,18502,10167,2753,956,86592,85729
P. 162,JOHOR,P. 162,ISKANDAR PUTERI,236348,234868,0,1480,17492,52251,51248,41903,35064,24793,10754,2378,465,118426,117922
P. 163,JOHOR,P. 163,KULAI,158926,158268,63,595,11564,35929,31871,26905,24248,16368,8608,2854,579,79831,79095
P. 164,JOHOR,P. 164,PONTIAN,76190,76123,0,67,4099,14066,16912,13277,11073,8757,5610,1911,485,37882,38308
P. 165,JOHOR,P. 165,TANJUNG PIAI,72151,71864,0,287,4055,13698,15192,12543,10947,8582,4972,1713,449,36463,35688
P. 166,WILAYAH PERSEKUTUAN LABUAN,P. 166,LABUAN,47429,45473,1551,405,3473,10707,11494,8173,5516,4992,2335,547,192,24876,22553
P. 167,SABAH,P. 167,KUDAT,79183,78542,61,580,5814,18213,18625,14015,9706,6788,3325,1394,1303,40181,39002
P. 168,SABAH,P. 168,KOTA MARUDU,85863,85662,0,201,6609,20577,21593,15245,9569,6821,3138,1290,1021,43462,42401
P. 169,SABAH,P. 169,KOTA BELUD,83543,83011,340,192,5690,17950,19432,15015,11231,8594,3338,1433,860,41048,42495
P. 170,SABAH,P. 170,TUARAN,88717,88517,0,200,6558,19199,20827,15857,11938,8782,3547,1229,780,44252,44465
P. 171,SABAH,P. 171,SEPANGGAR,117841,114670,3153,18,9402,30717,30375,19627,12510,9977,3639,1017,577,60206,57635
P. 172,SABAH,P. 172,KOTA KINABALU,72217,72019,164,34,2378,8681,13664,13097,11878,11675,7600,2430,814,35179,37038
P. 173,SABAH,P. 173,PUTATAN,67541,64395,3096,50,4498,15249,16157,11748,8233,6905,3400,894,457,34919,32622
P. 174,SABAH,P. 174,PENAMPANG,80726,78040,44,2642,5354,16753,18623,15997,10733,7883,3880,1082,421,40958,39768
P. 175,SABAH,P. 175,PAPAR,64121,63205,0,916,4809,13942,13690,11699,9162,6673,3001,819,326,32019,32102
P. 176,SABAH,P. 176,KIMANIS,42613,42592,0,21,2720,8132,9677,8169,6468,4589,1940,554,364,21373,21240
P. 177,SABAH,P. 177,BEAUFORT,44602,44374,0,228,2524,7801,9236,8582,7305,5809,2308,770,267,22474,22128
P. 178,SABAH,P. 178,SIPITANG,47741,47580,0,161,3111,9832,11090,8605,6796,5326,2011,650,320,24194,23547
P. 179,SABAH,P. 179,RANAU,70199,70001,0,198,5361,16092,17201,12795,8395,6291,2441,952,671,35420,34779
P. 180,SABAH,P. 180,KENINGAU,93202,92400,0,802,7078,22390,23811,15932,11353,8205,2998,886,549,47065,46137
P. 181,SABAH,P. 181,TENOM,44513,44334,0,179,3135,9446,10428,8027,6133,4537,1591,670,546,22213,22300
P. 182,SABAH,P. 182,PENSIANGAN,60325,60312,0,13,5337,16019,15314,9650,6477,4380,1541,740,867,30171,30154
P. 183,SABAH,P. 183,BELURAN,48001,47749,0,252,3926,11804,11809,8162,5813,3849,1588,649,401,24522,23479
P. 184,SABAH,P. 184,LIBARAN,76382,74731,406,1245,6339,18864,18599,13296,9016,6191,2826,808,443,39128,37254
P. 185,SABAH,P. 185,BATU SAPI,47171,45786,1029,356,3151,10872,11170,7574,5843,4723,2474,805,559,24469,22702
P. 186,SABAH,P. 186,SANDAKAN,55826,55377,0,449,3385,11747,12218,9020,7120,6642,3766,1260,668,28157,27669
P. 187,SABAH,P. 187,KINABATANGAN,48669,48469,0,200,4130,12039,11750,8245,5895,4027,1544,566,473,25078,23591
P. 188,SABAH,P. 188,LAHAD DATU,107767,105940,384,1443,9123,27968,27774,17188,11692,8900,3494,947,681,55751,52016
P. 189,SABAH,P. 189,SEMPORNA,77667,76264,364,1039,7068,19954,18294,12973,9492,6096,2075,840,875,38763,38904
P. 190,SABAH,P. 190,TAWAU,91891,90532,609,750,6685,20155,20462,15705,11805,9992,4980,1436,671,47184,44707
P. 191,SABAH,P. 191,KALABAKAN,89792,87184,2047,561,6914,22154,23563,15605,9352,7826,3048,881,449,46234,43558
P. 192,SARAWAK,P. 192,MAS GADING,49234,48525,536,173,3041,9836,10009,8063,7972,6197,3011,853,252,25170,24064
P. 193,SARAWAK,P. 193,SANTUBONG,84274,84113,38,123,6526,19964,18974,14128,11709,7934,3711,1071,257,41803,42471
